,name,link,research,field,id
0,Prof Sophia Ananiadou,https://www.research.manchester.ac.uk/portal/sophia.ananiadou.html,"
Research interestsProf. Ananiadou's main contributions are in the area of text mining and natural language processing. She is director of The National Centre for Text Mining (NaCTeM) the first publicly funded centre of its type in the world. She played a leading role in the creation of the centre,  negotiating  strategic links with industry (e.g. Pacific Life, Unitis, Pfizer, AZ, Unilever, Atypon, Microsoft, IBM, Elsevier and Nature) which has helped to guide NaCTeM towards its current status of a fully sustainable centre that engages with both academia and industry.
Her research covers a diverse range of areas, including terminology, information extraction, document classification and clustering, sentiment analysis, query expansion and resource building. These have been applied in a number of domains, such as biology, medicine, health and social sciences.
Her research has resulted in my publication of over 350 peer-reviewed publications in journals and conferences. My H-Index stands at 51 (Google Scholar) with over 10,000 citations, placing her in the top 30 most cited scholars worldwide in text mining.
Important research outcomes have included the following:
Computational terminology led to the development of the C-value method for automatic term recognition, which has been adopted as a standard for automatic term extraction internationally.  C-value has been packaged into the widely-used TerMine service.Work on acronym recognition has led to the development of the popular Acromine service.Work on direct and indirect association mining resulted in the deeopment of the FACTA+ service for which I was interviewed by New ScientistA major outcome of the AHRC Big Data project Mining the History of Medicine is the History of Medicine search engine, which provides semantically-enhanced search over the archives of the British Medical Journal (1840-present day) and the London-area Medical Officer of Health reports (1848-1972). This work featured in the Lancet.Collaboration with the National Institute for Health and Care Excellence (NICE) supported the development of a widely used tool, RobotAnalyst supporting search and screening of systematic reviews based on novel machine learning and text mining methods. RobotAnalyst is currently used by NICE, Cochrane teams and over 40 research institutes worldwide.Leading role in the development of interoperable text mining platforms to support research in several areas: the U-Compare and Argo platforms received funding from IBM, EU, BBSRC, AHRC, JISC and DARPA. Leading role in the interoperable platform funded by H2020 OpenMinTed.Role in making the University of Manchester a Hub in the UK of the META-NET Network of Excellence,  forging the Multilingual Europe TechnologyClosely involved with teams of psychology and mental health to provide text analytics for mental health onset prediction.At Salford Royal,  involved with the Lung Studies team on chronic obstructive pulmonary disease (COPD), extracting phenotypic information from literature and integrating knowledge from electronic health records and the literature.
In 2010, she supervised NaCTeM in the critical assessment of information extraction in biology (BioCreAtIvE III) protein-protein interaction (PPI) challenge to achieve the best performance, in what was considered the most challenging task, the Interaction Method Task (IMT). 
In 2013, she supervised  NaCTeM in BioCreAtIvE IV. NaCTeM achieved the best results in the tasks related with the automatic recognition of chemicals and genes (Comparative Toxicogenomics Database) and Chemical and Drug Named Entity Recognition.
NaCTeM’s event extraction system, EventMine, outperformed other systems in the BioNLP 2011 and 2013 tasks (pathway curation and infectious diseases, epigenetics) in the complex task of event extraction.
In 2015, within the DARPA funded Big Cancer Mechanism project,  her team produced the top performing ‘federated system’ for reading, producing the best performing text mining solutions for extracting entities and events for cancer pathways.
A co-instigator of the launch of a Special Interest Group within ACL (SIGBioMed) in 2008, dedicated to language processing in the biological, biomedical, and clinical domain bringing together researchers in NLP, bioinformatics, medical informatics, and computational biology, providing a venue for the promotion and dissemination of original research in this area. The BioNLP workshops are hubs of evaluation of text mining technology in biomedicine via the creation of shared tasks for which she acted as co-organiser.
",cs,412
1,Dr Richard Banach,https://www.research.manchester.ac.uk/portal/richard.banach.html,"
Research interestsFor accurate and up to date info, see http://www.cs.man.ac.uk/~banach
",cs,267
2,Prof Gavin Brown,https://www.research.manchester.ac.uk/portal/gavin.brown.html,"
Research interestsMachine Learning.
",cs,374
3,Dr Ke Chen,https://www.research.manchester.ac.uk/portal/ke.chen.html,"
Research interestsMy general areas of interest are artificial intelligence and computational cognitive science. In particular, I have been working in machine learning,  pattern recognition,  machine perception, computational cognitive systems and their applications in intelligent system development for over three decades.
With the aforementioned fundamental researches, I am keen on developing effective and efficient techniques for real world applications. For my current research topics, please visit Research Interest page.  For the further information on my research interests, please visit my Publication page.
",cs,170
4,Prof Timothy Cootes,https://www.research.manchester.ac.uk/portal/timothy.f.cootes.html,"
Research interestsMedical Image Analysis using Statistical Models
Using statistical shape and appearance models, and machine learning methods, to locate and measure structures in medical images.
Musculoskeletal Applications
Analysing the shape and appearance of bones and joints in medical images in order to diagnose and monitor diseases such as osteoporosis and osteoarthritis.
Facial Image Analysis
Using statistical models to locate and track facial features in images and videos, and to estimate the identity or activity of the person.
Groupwise Image Registration
Methods of finding corresponding points and structures in large groups of images, so that we can automatically construct statistical models to learn about the common structures and variation inherent in the data.
",cs,418
5,Prof Timothy Cootes,https://www.research.manchester.ac.uk/portal/timothy.f.cootes.html,"
Methodological knowledge
	Computer Vision

	Medical Image Analysis

	Statistical Models of Appearance

	Groupwise Image Registration

	Facial Image Interpretation
",cs,418
6,Dr Suzanne Embury,https://www.research.manchester.ac.uk/portal/suzanne.m.embury.html,"
Other research
Projects


Institute of Coding RoboTA ProjectISPIDER: Proteomics GridQurator: Assessing the Quality of Curated e-Science Information Resources

",cs,314
7,Prof Steve Furber CBE FRS FREng DFBCS FIET CITP CEng,https://www.research.manchester.ac.uk/portal/steve.furber.html,"
Research interestsAPT Projects
",cs,413
8,Prof Carole Goble,https://www.research.manchester.ac.uk/portal/carole.goble.html,"
Research interestsCarole Goble’s research is on knowledge and information management, distributed information systems and interoperability of applications and new ways of doing in silico science, scientific publication and curation. She is a leader of the UK’s e-Science programme, working for over a decade on information solutions for scientists, in particular Clinicians and Life Scientists. She co-directs Manchester's e-Science Centre and is a principle investigator of the Open Middleware Infrastructure Institute-UK.  Her main objective is to enable Scientists and Citizens to better  access, find and link their information and their resources. Her Scientific collaborations have recently focused on Systems Biology and e-Laboratories for health. She is well known for her work on semantic technologies, metadata, ontologies, workflow management systems, Virtual Research Environments for groups of scientists and semantically enabled middleware and curation. She has also worked on hypermedia and web accessibility. Workflow Management Systems (WfMS): as director of the myGrid project she has developed the highly popular and widely used Taverna Workflow Workbench . Her research into WfMS includes: provenance management; workflow reuse and repurposing; and semantic-based service discovery and composition.  Virtual Research Environments: Carole is developing the myExperiment social networking and collaboration platform for workflow using e-Scientists. Her research interests include: new ways of publishing scientific results of all kinds; mass curation;  and the analysis of social interaction to better support workflow exchange and development and improve Scientific practices.Carole works on Grid and Web middleware. In particular she is interested in the use of Web 2.0 technologies for distributed information management, and enabling middleware to be easier to use and deploy.   The Semantic Web is the enrichment of the Web with metadata such that it can be more readily processed  by machines as well as people. Carole works on the use of Semantic Web techniques for representing ontologies in Science; applying semantic web approaches to data integration and management, workflow systems, and resource discovery. She developed one of the first ontologies for describing real Web services and the TAMBIS ontology mediated integration system for bioinformatics. She pioneered the use of ontologies to dynamically author hypermedia links in the  COHSE system.  The Semantic Grid is the enrichment of the Grid and Grid applications with explicit metadata such that it can be more readily processed and shared amongst applications. Carole is a pioneer of the Semantic Grid. She proposed the first Reference Architecture for the Semantic Grid, S-OGSA.Carole is also interested in social commentary on how scientists and technologists work together. She has given very popular talks on these topics including the likening of knowledge representation specialists and biologists to the Montagues and Capulets; and highlighting the Seven Deadly Sins of bioinformatics. She is currently developing the idea of the Selfish Scientist.   
",cs,364
9,Prof Anthony Goodacre,https://www.research.manchester.ac.uk/portal/john.goodacre.html,"
Research interestsHaving defined and introduced the ARM multicore processors with its novel two level coherence and processor integration scheme, along with the subsequent big.LITTLE concept and software, John’s interests have moved on to how to scale such technology into the data-centre and high-performance applications in general.
With a keen eye on the commercial aspects for any exploitation, he has initiated and been involved in various EU funded consortium in the furthering of the ARM technology towards these goal. John was technical director of an FP7 headline project EUROSERVER that focused on research and innovation across the adoption of ARM technology through nanotechnology integration, a new software memory paradigm and heterogeneous runtimes, while maintaining extreme scalability and compatibility goals across various market segments, an approach that is now being used to deliver on the need for exascale level computation in projects funded by H2020 to over 40M euro.
In addition to the power efficient scalability aspect of rich multi-class heterogeneous hardware systems, he is also involved in projects around associated re-targetable and semantically aware software runtime and associated support in the advancement of compiler technology.
Currently he provide a research vision and technical leadership across a number of project from transistor level to exascale HPC system design. 
",cs,358
